comment_id,status_id,parent_id,comment_message,comment_author,comment_published,comment_likes
10157429621556840_109020439940167,21785951839_10157429621556840,,b'Isabelle Ratai wie finde ich das verdammt ekelhaft \xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f',0,2018-03-18 05:04:37,0
10157429621556840_359814584522311,21785951839_10157429621556840,10157429621556840_109020439940167,b'\xc3\x84h.....  \xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f da kann man aber auch nicht weg schauen \xf0\x9f\xa4\x94\xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f',0,2018-03-18 05:12:09,0
10157429621556840_225976434645667,21785951839_10157429621556840,,b'Amalie Smitt',0,2018-03-18 05:04:37,1
10157429621556840_225976531312324,21785951839_10157429621556840,10157429621556840_225976434645667,b'Neitakk du',0,2018-03-18 05:05:13,1
10157429621556840_402096010255429,21785951839_10157429621556840,,b'Bajjuri ;)',0,2018-03-18 05:04:39,0
10157429621556840_587278714957651,21785951839_10157429621556840,,b'Emma Maria Kristina \xc3\x85strand',0,2018-03-18 05:04:39,0
10157429621556840_402096023588761,21785951839_10157429621556840,,b'Natalie Pawlowski Katharina Katinka',0,2018-03-18 05:04:42,0
10157429621556840_587278738290982,21785951839_10157429621556840,,b'deep web',0,2018-03-18 05:04:45,1
10157429621556840_402096053588758,21785951839_10157429621556840,,b'Itzz MJ',0,2018-03-18 05:04:47,0
10157429621556840_225976947978949,21785951839_10157429621556840,10157429621556840_402096053588758,"b""Oh no I totally didn't know it was fakkkeeee ahhhhh""",0,2018-03-18 05:06:00,0
10157429621556840_109021609940050,21785951839_10157429621556840,10157429621556840_402096053588758,b'\xf0\x9f\x98\x91\xf0\x9f\x98\x91\xf0\x9f\x98\x91\xf0\x9f\x98\x91',0,2018-03-18 05:06:24,0
10157429621556840_587278758290980,21785951839_10157429621556840,,b'Rattanamon Numpachokchai \xe0\xb8\xab\xe0\xb8\xa5\xe0\xb8\xad\xe0\xb8\x99',0,2018-03-18 05:04:50,0
10157429621556840_225976487978995,21785951839_10157429621556840,,b'Ellie Bellie',0,2018-03-18 05:04:53,0
