comment_id,status_id,parent_id,comment_message,comment_author,comment_published,comment_likes
10156316962108463_10156317086043463,8245623462_10156316962108463,,b'Vanhaidi Wong see draymond can shoot 3s',0,2018-03-18 02:20:21,1
10156316962108463_10156317175803463,8245623462_10156316962108463,10156316962108463_10156317086043463,"b""he sure can....i've seen him do it against the cavs in finals games :( he actually does it much better than you'd expect""",0,2018-03-18 02:52:52,0
10156316962108463_10156317086558463,8245623462_10156316962108463,,b'Jovan M. Sherman',0,2018-03-18 02:20:27,0
10156316962108463_10156317098778463,8245623462_10156316962108463,10156316962108463_10156317086558463,b'What The Hell Going With #2 Hair Bro? \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',0,2018-03-18 02:24:44,0
10156316962108463_10156317086638463,8245623462_10156316962108463,,b'When Rockets beat the Warriors KD will join Houston in the off season',0,2018-03-18 02:20:34,7
10156316962108463_10156317156603463,8245623462_10156316962108463,10156316962108463_10156317086638463,"b'this will be a great team... harden, paul, lebron and KD'",0,2018-03-18 02:45:06,1
10156316962108463_10156317327038463,8245623462_10156316962108463,10156316962108463_10156317086638463,b'Lol LeBron wtf?',0,2018-03-18 04:02:06,0
10156316962108463_10156317372498463,8245623462_10156316962108463,10156316962108463_10156317086638463,"b'Hahaha keep dreaming guys,,,,Houston beat Warriors in Play offs lol hahaha Choker team i dont see it will happen'",0,2018-03-18 04:21:34,0
10156316962108463_10156317399258463,8245623462_10156316962108463,10156316962108463_10156317086638463,"b""If KD left the Warriors, there will be applications from LeBron and PG, for the Warriors' SF position.""",0,2018-03-18 04:33:31,0
10156316962108463_10156317567068463,8245623462_10156316962108463,10156316962108463_10156317086638463,"b""Lol, Rockets won't even reach west finals \xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82""",0,2018-03-18 05:53:03,0
10156316962108463_10156317093818463,8245623462_10156316962108463,,b'Joel Cabrera',0,2018-03-18 02:23:07,1
10156316962108463_10156317159013463,8245623462_10156316962108463,10156316962108463_10156317093818463,b'And people say he wack \xf0\x9f\x98\x82',0,2018-03-18 02:46:05,1
10156316962108463_10156317101723463,8245623462_10156316962108463,,"b""One of the ugliest shots in basketball, it's like the hunchback of Notre dame letting fly""",0,2018-03-18 02:26:02,19
10156316962108463_10156317135448463,8245623462_10156316962108463,10156316962108463_10156317101723463,b'You haters really are pathetic \xf0\x9f\x98\x82',0,2018-03-18 02:37:37,3
10156316962108463_10156317217198463,8245623462_10156316962108463,10156316962108463_10156317101723463,b'Not worse than Shawn Marion jumpshot lol',0,2018-03-18 03:09:41,1
10156316962108463_10156317227753463,8245623462_10156316962108463,10156316962108463_10156317101723463,b'Lonzo Ball tho',0,2018-03-18 03:14:43,1
10156316962108463_10156317253738463,8245623462_10156316962108463,10156316962108463_10156317101723463,b'Its not rlly ugly. Is just the way he jumps when shots the ball.',0,2018-03-18 03:27:39,0
